iter	F1	Logloss
0	0.5933742768	0.6487215439
1	0.5799723167	0.619831728
2	0.5364239858	0.5983342259
3	0.5502632933	0.5858523657
4	0.5386585379	0.572945749
5	0.6068977025	0.5510874688
6	0.5792800358	0.5465685439
7	0.5806528436	0.5406932014
8	0.599578728	0.5268812083
9	0.6120407681	0.5168407609
10	0.6029426876	0.511518037
11	0.5964190084	0.5077459018
12	0.6050548005	0.5018168654
13	0.6023969981	0.4980063103
14	0.6129094615	0.4936898593
15	0.6134152655	0.4903188286
16	0.6143703149	0.4882965755
17	0.6248255965	0.4872120855
18	0.6226236165	0.4859639036
19	0.6273741919	0.4837780824
20	0.6246833363	0.4820858255
21	0.6262566107	0.479994276
22	0.6268329862	0.4783974307
23	0.6293066259	0.4775675834
24	0.6432469968	0.470485123
25	0.6459822635	0.4680778418
26	0.6446692771	0.4675671202
27	0.6443966661	0.465942437
28	0.6493839705	0.4633163518
29	0.6518533566	0.4619857022
30	0.6543695822	0.4612469007
31	0.6514188939	0.4606373688
32	0.6514188939	0.4597476539
33	0.6531769497	0.456688868
34	0.6529139213	0.4567604608
35	0.6552961846	0.4559287116
36	0.6534868449	0.4545656027
37	0.6536210826	0.4546546457
38	0.6586037666	0.453815056
39	0.6610406547	0.4535023586
40	0.6585308931	0.4527119666
41	0.6587170185	0.4522325344
42	0.6634508772	0.4510546325
43	0.6644006141	0.4501010164
44	0.663593988	0.449877409
45	0.6652195816	0.4474270352
46	0.6667164624	0.4473243005
47	0.6663551295	0.4472020149
48	0.6665472658	0.4458971504
49	0.6654293234	0.444100189
50	0.664115488	0.4428500132
51	0.6661771482	0.4424809887
52	0.6687147089	0.4420516318
53	0.6682696197	0.4415784663
54	0.6692137004	0.4413349952
55	0.6674353368	0.4409583765
56	0.6682696197	0.4408864351
57	0.6697965729	0.4401609902
58	0.6673783035	0.4388643264
59	0.6678241001	0.4382304373
60	0.6706021567	0.4379053703
61	0.6731333671	0.4375615271
62	0.6746895552	0.4374829007
63	0.6769235228	0.4367901623
64	0.6765706658	0.4367345276
65	0.6725074681	0.4355446414
66	0.6753784126	0.4355465266
67	0.6745151459	0.4339872728
68	0.6738242716	0.4337572742
69	0.6785541541	0.4331516409
70	0.6800215634	0.4329191592
71	0.6812679879	0.431857019
72	0.6812679879	0.4319077691
73	0.6820804115	0.4316027277
74	0.6822785159	0.4305754045
75	0.6837243547	0.43019689
76	0.6839598291	0.4297514541
77	0.6846429876	0.42965261
78	0.6853261167	0.4295285296
79	0.6879383458	0.427824062
80	0.6890921504	0.4273958478
81	0.6892108918	0.426931612
82	0.6896670008	0.4262049868
83	0.6921746252	0.4259542905
84	0.6929707257	0.4257785795
85	0.6939875381	0.4245391497
86	0.6942161143	0.424287887
87	0.6965800439	0.423048011
88	0.6970280955	0.4225103575
89	0.6954540503	0.4223304612
90	0.6998170482	0.4209599088
91	0.7009339299	0.4203454018
92	0.7018242777	0.4197919848
93	0.7010467064	0.4188819263
94	0.7004882979	0.418697825
95	0.7002580322	0.418034665
96	0.7002482859	0.4178219469
97	0.7027894362	0.4172095881
98	0.7035687711	0.4168010562
99	0.7040190864	0.4165680668
100	0.7047805995	0.416433781
101	0.7029092788	0.4159847388
102	0.7025647748	0.4153644141
103	0.7032314125	0.4149647222
104	0.7030142412	0.4143608601
105	0.703785537	0.4142171675
106	0.7040190864	0.4138179207
107	0.7044609877	0.4136543606
108	0.7036895202	0.4132665164
109	0.7039064536	0.4131272916
110	0.7036895202	0.4130596799
111	0.7039149015	0.4128593602
112	0.7038105453	0.4127451088
113	0.7039149015	0.4124611817
114	0.7044880133	0.4118318096
115	0.7069373205	0.4107204982
116	0.7079094436	0.4104839098
117	0.7064731668	0.4104130318
118	0.7072423489	0.4103129644
119	0.7079094436	0.4099604119
120	0.7078207729	0.4095420127
121	0.708035193	0.4094454887
122	0.7093570165	0.4090868284
123	0.7105625755	0.4089602824
124	0.7098962464	0.4088192678
125	0.7100097048	0.4087829718
126	0.7099105592	0.4086757442
127	0.7112132879	0.408501374
128	0.7096835241	0.4081574389
129	0.7101231996	0.407886701
130	0.7100097048	0.4077973979
131	0.7099809367	0.4071463209
132	0.7110689121	0.4065793293
133	0.710744334	0.4064170164
134	0.7111667046	0.4063450098
135	0.7109403868	0.4062217058
136	0.7111667046	0.4061216219
137	0.7123639925	0.4057518227
138	0.7117010967	0.4056741681
139	0.7118303779	0.4054269856
140	0.7115064516	0.4051778883
141	0.7131402338	0.4049221205
142	0.711361811	0.4048005279
143	0.7134805699	0.404669775
144	0.7128172896	0.4045616753
145	0.7128172896	0.4044499493
146	0.7127661871	0.4040682684
147	0.7121211708	0.4038927585
148	0.7127831881	0.4037194066
149	0.7132187038	0.4036196289
150	0.7128792624	0.4034645961
151	0.7131055207	0.4034349584
152	0.7133319227	0.4032313384
153	0.7139937819	0.4031475307
154	0.7138804603	0.4030645063
155	0.7137671746	0.4030114982
156	0.7134451777	0.402825705
157	0.7133494884	0.4024690133
158	0.7131402338	0.4023512278
159	0.7130096003	0.401985707
160	0.7125737279	0.4019223477
161	0.7148445178	0.401809399
162	0.7158256218	0.4016999545
163	0.7151845427	0.4015722316
164	0.7155248913	0.4013819281
165	0.7155989244	0.4011528055
166	0.7158256218	0.4009562083
167	0.7163520745	0.4008845545
168	0.7163725144	0.4005671103
169	0.7156186494	0.4004571994
170	0.7158256218	0.4004076537
171	0.7147501425	0.4002168762
172	0.7154114058	0.4001912102
173	0.7139937819	0.3999736589
174	0.7135584685	0.3999651793
175	0.7130096003	0.3999168816
176	0.7139937819	0.3998460596
177	0.7139937819	0.3998286292
178	0.7150903994	0.3995682252
179	0.7146744681	0.3993288381
180	0.7149961026	0.3991470735
181	0.7152038903	0.3989248579
182	0.7156582146	0.398780799
183	0.7155445794	0.3986540817
184	0.7154309803	0.3985566462
185	0.7155445794	0.3984369107
186	0.7154309803	0.3983478319
187	0.7154309803	0.3982359546
188	0.7151096711	0.3980233211
189	0.7155445794	0.3979816109
190	0.7159791935	0.3979184327
191	0.7181256842	0.3977838501
192	0.7176712304	0.3976311742
