iter	Passed	Remaining
0	1	1802
1	3	1826
2	6	2061
3	7	1975
4	9	1953
5	11	1882
6	13	1851
7	15	1862
8	17	1876
9	19	1872
10	21	1902
11	23	1907
12	25	1920
13	27	1917
14	29	1898
15	31	1918
16	33	1896
17	34	1884
18	37	1902
19	38	1891
20	40	1881
21	42	1869
22	43	1850
23	45	1841
24	47	1837
25	49	1830
26	51	1841
27	53	1832
28	55	1846
29	57	1836
30	59	1851
31	228	6850
32	230	6697
33	231	6540
34	233	6394
35	235	6260
36	237	6125
37	239	6020
38	241	5910
39	243	5811
40	245	5702
41	247	5599
42	253	5598
43	255	5505
44	257	5415
45	258	5328
46	260	5245
47	262	5167
48	264	5090
49	266	5020
50	267	4949
51	270	4891
52	272	4826
53	274	4770
54	276	4716
55	278	4662
56	280	4607
57	282	4557
58	284	4507
59	286	4456
60	289	4418
61	290	4366
62	292	4319
63	294	4272
64	297	4242
65	298	4199
66	301	4160
67	302	4117
68	305	4085
69	306	4045
70	308	4009
71	310	3971
72	312	3938
73	316	3926
74	317	3890
75	320	3866
76	323	3852
77	325	3820
78	327	3787
79	329	3755
80	331	3731
81	333	3700
82	334	3667
83	336	3645
84	338	3616
85	340	3589
86	342	3562
87	344	3544
88	346	3519
89	348	3491
90	350	3471
91	352	3449
92	353	3425
93	355	3402
94	357	3382
95	359	3359
96	361	3336
97	363	3320
98	365	3301
99	367	3279
100	368	3257
101	370	3236
102	372	3217
103	374	3198
104	375	3178
105	377	3160
106	379	3145
107	381	3127
108	384	3115
109	386	3100
110	388	3083
111	390	3068
112	391	3050
113	393	3032
114	394	3014
115	396	2997
116	398	2981
117	400	2969
118	402	2957
119	404	2942
120	406	2929
121	408	2913
122	410	2902
123	411	2886
124	413	2872
125	415	2859
126	418	2851
127	419	2836
128	421	2824
129	423	2810
130	425	2797
131	426	2784
132	428	2772
133	430	2759
134	432	2747
135	434	2737
136	436	2727
137	438	2716
138	440	2707
139	442	2697
140	444	2687
141	446	2674
142	447	2661
143	449	2648
144	450	2635
145	452	2626
146	454	2613
147	455	2600
148	457	2589
149	458	2577
150	460	2566
151	462	2559
152	464	2551
153	466	2542
154	468	2533
155	470	2523
156	471	2513
157	473	2503
158	476	2499
