CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,IsZeroBalance,AgeGroup,CreditTier,CustomerValue,AgeProduct,ActivityScore,LogBalanceSalaryRatio,HighBalance,CLV
619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,Adult,near prime,101348.88,3.7612001156935624,1,-11.526333967863659,0,0.0
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0,Adult,near prime,196350.44,3.7376696182833684,1,-0.2948017945879897,0,83807.86
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0,Adult,subprime,273592.37,4.844187086458591,0,0.3374510459447837,1,1277286.4
699,France,Female,39,1,0.0,2,0,0,93826.63,0,1,Adult,prime,93826.63,4.3694478524670215,0,-11.44921465451897,0,0.0
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,Adult,superprime,204594.92,3.784189633918261,1,0.46187544952686466,1,251021.64
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0,Adult,near prime,263512.49,4.48863636973214,0,-0.274956061029501,1,910046.24
822,France,Male,50,7,0.0,2,1,1,10062.8,0,1,Senior,superprime,10062.8,4.61512051684126,2,-9.216700105928764,0,0.0
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0,Young,subprime,234393.62,4.762173934797756,0,-0.03669541708956636,1,460186.96
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,Adult,subprime,216991.57,4.48863636973214,2,0.6394858713496738,1,568204.28
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,Young,prime,206329.61,3.332204510175204,1,0.6294801906465217,1,269207.76
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,Adult,subprime,182197.84,4.143134726391533,0,0.24084597631227034,1,612100.3200000001
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,1,Young,subprime,76390.01,3.8918202981106265,0,-11.243620298073868,0,0.0
476,France,Female,34,10,0.0,2,1,0,26260.98,0,1,Adult,subprime,26260.98,4.23410650459726,0,-10.175877544862038,0,0.0
549,France,Female,25,5,0.0,2,0,0,190857.79,0,1,Young,subprime,190857.79,3.9318256327243257,0,-12.159289114225695,0,0.0
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,1,Adult,near prime,65951.65,4.2626798770413155,2,-11.096692339294215,0,0.0
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,Senior,near prime,207456.67,4.51085950651685,2,0.799757135697245,1,429388.23
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,Senior,near prime,137700.55000000002,4.07753744390572,0,3.2583866168524,1,132602.88
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,1,Young,subprime,14406.41,3.8918202981106265,2,-9.575497936544824,0,0.0
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,1,Senior,subprime,158684.81,3.828641396489095,0,-11.974681488528173,0,0.0
726,France,Female,24,6,0.0,2,1,1,54724.03,0,1,Young,prime,54724.03,3.8918202981106265,2,-10.910076470586436,0,0.0
732,France,Male,41,8,0.0,2,1,1,170886.17,0,1,Adult,prime,170886.17,4.418840607796598,2,-12.048758793143364,0,0.0
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,1,Adult,near prime,138555.46,4.174387269895637,0,-11.839033174971048,0,0.0
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,Adult,subprime,118913.53,3.6635616461296463,0,-11.68616027874501,0,0.0
669,France,Male,46,3,0.0,2,0,1,8487.75,0,1,Senior,prime,8487.75,4.532599493153256,2,-9.046497036428,0,0.0
846,France,Female,38,5,0.0,1,1,1,187616.16,0,1,Adult,superprime,187616.16,3.6635616461296463,1,-12.142158782586376,0,0.0
577,France,Male,25,3,0.0,2,0,1,124508.29,0,1,Young,subprime,124508.29,3.9318256327243257,2,-11.732135610576975,0,0.0
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,Adult,prime,306857.59,3.6109179126442243,1,-0.21740941698107363,1,273631.28
571,France,Male,44,9,0.0,2,0,0,38433.35,0,1,Adult,subprime,38433.35,4.48863636973214,0,-10.556706869971176,0,0.0
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,Adult,subprime,241536.86,3.784189633918261,1,0.34418941330724273,1,424048.29
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,Young,subprime,113180.38,4.07753744390572,2,0.10991489650979602,0,0.0
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,Adult,subprime,140469.38,4.770684624465665,0,-11.852751927025254,0,0.0
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,Adult,subprime,242043.61,3.6109179126442243,1,-0.6082198167570301,0,597181.9
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,Adult,subprime,192011.34999999998,4.418840607796598,0,0.2960153443232105,1,991012.86
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,1,Adult,subprime,34410.55,4.442651256490317,2,-10.446147542822073,0,0.0
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,1,Young,prime,142033.07,4.07753744390572,2,-11.863822237382365,0,0.0
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,0,Senior,subprime,162087.03,3.828641396489095,0,1.5739171586993574,1,0.0
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,Adult,subprime,259327.0,3.4657359027997265,1,0.24174096226833086,1,435780.69000000006
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,Adult,superprime,175002.05,3.5263605246161616,1,-0.25165510792593615,0,535840.2000000001
850,France,Male,36,7,0.0,1,1,1,40812.9,0,1,Adult,superprime,40812.9,3.6109179126442243,1,-10.616777988646371,0,0.0
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,Adult,subprime,248423.52000000002,4.418840607796598,2,-0.9287154279240095,0,422096.88
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,1,Adult,subprime,70154.22,3.713572066704308,0,-11.158465494736515,0,0.0
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0,Senior,subprime,303819.97,3.9512437185814275,0,-0.3918442922971934,1,980178.56
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,Elderly,subprime,211573.18,4.127134385045092,1,0.2208196764819057,1,234838.7
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0,Senior,superprime,325760.32,3.912023005428146,0,-0.39153457422668403,1,262789.12
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,Elderly,near prime,314269.5,4.127134385045092,1,-0.015320047048307472,1,779655.5499999999
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,Adult,prime,235938.59000000003,4.174387269895637,2,-0.14517507165180454,1,437684.52
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0,Young,superprime,231753.88,3.332204510175204,1,-0.06615007103008708,1,1008411.03
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,0,Adult,near prime,255466.59999999998,3.6888794541139363,1,0.15863701865589164,1,1240594.2
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,Adult,subprime,194269.51,3.6635616461296463,1,0.12900088310440871,1,206782.76
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,Adult,prime,297868.33999999997,4.31748811353631,0,-0.6261950767246152,1,207538.44
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,Adult,prime,314422.53,4.48863636973214,0,-0.5318444341459223,1,1163633.7
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,Adult,subprime,232475.54,4.290459441148391,0,0.5246789361743112,1,730254.85
788,France,Female,33,5,0.0,2,0,0,116978.19,0,1,Adult,superprime,116978.19,4.204692619390966,0,-11.669751334712487,0,0.0
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0,Adult,near prime,289602.91000000003,3.7376696182833684,0,-0.2673147411137897,1,1004495.76
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,0,Adult,near prime,138510.48,3.7612001156935624,0,0.9007498716148987,1,98495.72
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,Adult,near prime,238622.41,3.784189633918261,1,0.09899293931777997,1,125211.92
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,Senior,near prime,214971.97,3.828641396489095,0,0.38382287646952484,1,639322.0
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,Young,prime,121501.95,2.995732273553991,0,0.5090432526578041,0,0.0
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,Elderly,subprime,1643.11,4.204692619390966,0,-7.404954483353421,0,0.0
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,Senior,near prime,87461.2,3.9512437185814275,1,-0.13946957195630283,0,162743.68
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,Adult,prime,221366.57,3.58351893845611,0,0.48206727664637405,1,684285.0
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,Young,prime,278823.7,4.007333185232471,0,0.18583916824152524,1,1370959.92
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,Adult,subprime,234882.82,4.204692619390966,0,-1.1593822971795067,0,56084.69
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,Senior,prime,178105.52000000002,4.04305126783455,1,-0.23339884008226974,0,629657.28
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,Young,near prime,202007.03999999998,3.295836866004329,1,0.1619866399538452,1,436665.48
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,0,Adult,prime,197589.82,4.290459441148391,2,1.8112393410672833,1,1018988.76
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0,Adult,subprime,212064.55,3.5553480614894135,0,-0.08302604673022529,1,101633.04
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0,Adult,prime,319853.29,4.465908118654584,2,-0.4678940597384784,1,1231800.0999999999
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,0,Adult,prime,264382.38,4.2626798770413155,2,0.2822745156364803,1,753627.65
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,Young,prime,116576.26,3.091042453358316,0,1.6871378343185395,1,786986.08
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0,Senior,prime,162119.3,5.4510384535657,0,1.5504422267307607,1,267490.88
813,France,Male,29,6,0.0,1,1,0,33953.87,0,1,Young,superprime,33953.87,3.4011973816621555,0,-10.43278756894389,0,0.0
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,Adult,near prime,207810.72999999998,3.6375861597263857,1,1.308646697956645,1,0.0
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,Young,near prime,216207.65,3.9318256327243257,2,0.9934213442887909,1,788904.2
519,France,Male,36,9,0.0,2,0,1,145562.4,0,1,Adult,subprime,145562.4,4.290459441148391,2,-11.888367009518703,0,0.0
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,Young,prime,201106.19,3.7612001156935624,0,2.0772460362640732,1,178718.19
664,France,Male,55,8,0.0,2,1,1,139161.64,0,1,Senior,prime,139161.64,4.709530201312334,2,-11.8433986000546,0,0.0
678,France,Female,32,9,0.0,1,1,1,148210.64,0,1,Adult,prime,148210.64,3.4965075614664802,1,-11.906396531269944,0,0.0
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,Adult,prime,271492.85,3.5263605246161616,1,-0.9219962091585643,0,386266.1
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,Adult,subprime,220491.27000000002,4.418840607796598,0,0.2175320335638702,1,1221896.6
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,Adult,prime,268059.2,4.23410650459726,0,-0.5730251276901459,0,96645.54
777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,Adult,prime,136458.19,3.4965075614664802,0,-11.823780874546433,0,0.0
543,France,Female,36,3,0.0,2,0,0,26019.59,0,1,Adult,subprime,26019.59,4.290459441148391,0,-10.166643426674913,0,0.0
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,Adult,subprime,249542.91,3.5553480614894135,1,-0.5671562842482754,0,361230.48
493,France,Female,46,4,0.0,2,1,0,1907.66,0,1,Senior,subprime,1907.66,4.532599493153256,0,-7.554156704144172,0,0.0
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,1,Elderly,near prime,114675.75,5.017279836814924,2,-11.64987257986779,0,0.0
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0,Young,prime,250325.17,3.1354942159291497,0,-0.05563379693254511,1,365045.46
729,France,Male,30,9,0.0,2,1,0,151869.35,0,1,Adult,prime,151869.35,4.110873864173311,0,-11.93078247532428,0,0.0
646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,Senior,near prime,93251.42,4.9344739331306915,0,-11.44306528891195,0,0.0
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,Young,near prime,238415.02999999997,4.04305126783455,2,-0.6527908375300324,0,244871.01
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,Adult,near prime,174205.22,4.890349128221754,3,-12.067995048848053,0,0.0
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,Senior,superprime,265759.01,4.51085950651685,0,-0.21535131304034394,1,830385.85
524,France,Female,36,10,0.0,2,1,0,109614.57,0,1,Adult,subprime,109614.57,4.290459441148391,0,-11.60473470544999,0,0.0
769,France,Male,29,8,0.0,2,1,1,172290.61,0,1,Young,prime,172290.61,4.07753744390572,2,-12.05694372719229,0,0.0
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,1,Adult,prime,85982.47,4.442651256490317,2,-11.361910347458744,0,0.0
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,Adult,subprime,297551.73,3.58351893845611,1,0.3739531294806433,1,1762739.5
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,Adult,prime,167422.69,3.7376696182833684,1,0.46490560888797283,1,925446.96
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,Young,superprime,294362.53,4.07753744390572,2,-0.7089978877129202,0,776691.2
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,1,Young,prime,99645.04,3.8066624897703196,0,-11.509379585764519,0,0.0
413,France,Male,34,9,0.0,2,0,0,6534.18,0,1,Adult,subprime,6534.18,4.23410650459726,0,-8.784955169672873,0,0.0
665,France,Female,40,6,0.0,1,1,1,161848.03,0,1,Adult,prime,161848.03,3.713572066704308,1,-11.994419266132848,0,0.0
623,France,Female,44,6,0.0,2,0,0,167162.43,0,1,Adult,near prime,167162.43,4.48863636973214,0,-12.026727235614317,0,0.0
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,Adult,prime,124644.87,3.4657359027997265,0,0.6779230150401077,0,744067.35
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,1,Adult,subprime,60536.56,4.290459441148391,0,-11.0110192778322,0,0.0
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,Elderly,prime,177655.68,4.189654742026425,1,-12.087608202768692,0,0.0
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,0,Senior,near prime,138057.86000000002,4.532599493153256,2,1.2400004481225508,1,428293.08
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,Adult,subprime,98993.15,3.4965075614664802,1,2.179834980600168,0,88938.62
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,Adult,superprime,136783.37,3.6109179126442243,1,0.9929366771060337,1,199613.7
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,Adult,near prime,221955.58999999997,3.5263605246161616,0,0.7364879102538886,1,750464.0
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0,Adult,subprime,192283.75,3.58351893845611,0,-0.06884111386338532,0,835505.01
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,Adult,prime,153619.69,3.4339872044851463,1,0.3613022841132665,0,271610.43
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,Adult,subprime,135286.36000000002,4.3694478524670215,0,1.3782482367676447,1,756385.7000000001
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0,Adult,subprime,187035.76,3.7612001156935624,0,0.14397252260326,1,200476.7
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,Adult,prime,129184.87,3.6109179126442243,1,1.5299538218234687,1,955714.9500000001
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,0,Young,prime,255776.48,4.04305126783455,2,0.4219366780402538,1,1390279.86
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,Adult,near prime,206520.42,4.110873864173311,2,0.5791057226530008,1,1191161.61
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,Adult,prime,283502.69,3.6375861597263857,0,0.37268669041718283,1,1007186.3999999999
506,France,Female,41,1,0.0,2,1,0,31766.3,0,1,Adult,subprime,31766.3,4.418840607796598,0,-10.366192737816368,0,0.0
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0,Adult,subprime,307544.02,3.4657359027997265,0,-0.6164886415409967,1,862549.04
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0,Adult,prime,306008.29,4.23410650459726,0,0.4268703468563366,1,740695.24
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,Adult,superprime,167565.11,4.23410650459726,0,1.2220997080897007,1,1035466.72
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0,Adult,prime,220324.37,3.6888794541139363,0,0.18262178218159697,1,721160.52
656,France,Female,39,6,0.0,2,1,0,141069.88,0,1,Adult,near prime,141069.88,4.3694478524670215,0,-11.857017738086945,0,0.0
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,Senior,prime,324513.77999999997,3.8918202981106265,1,-0.4495890709349748,1,1263844.2
625,France,Female,28,3,0.0,1,0,0,183646.41,0,1,Young,near prime,183646.41,3.367295829986474,0,-12.120772948235217,0,0.0
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,0,Adult,subprime,262868.69,3.7612001156935624,0,0.32495147456450013,1,1373431.05
549,France,Female,52,1,0.0,1,0,1,8636.05,1,1,Senior,subprime,8636.05,3.970291913552122,1,-9.063816368310652,0,0.0
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,0,Senior,near prime,195331.32,4.04305126783455,0,1.1542214881010793,1,0.0
828,France,Female,41,7,0.0,2,1,0,171378.77,0,1,Adult,superprime,171378.77,4.418840607796598,0,-12.051637250175295,0,0.0
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,Young,prime,269083.42000000004,3.2188758248682006,0,-0.496247841384335,1,916443.6300000001
758,France,Female,34,3,0.0,2,1,1,124226.16,0,1,Adult,prime,124226.16,4.23410650459726,2,-11.729867104123743,0,0.0
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,Adult,superprime,245797.64,3.5263605246161616,1,0.12977698150565153,1,1177761.8699999999
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,Adult,prime,158179.75,3.6635616461296463,1,1.2360744243806892,1,1103137.83
686,France,Male,25,1,0.0,2,0,1,16459.37,0,1,Young,prime,16459.37,3.9318256327243257,2,-9.708710952714748,0,0.0
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,Adult,superprime,249239.54,4.3694478524670215,2,0.0033492040704903303,1,873799.2200000001
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0,Senior,subprime,179836.28,4.61512051684126,2,1.4223204624086048,1,724475.25
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0,Adult,subprime,231448.21,3.5553480614894135,1,-0.9690512051852718,0,318319.65
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0,Adult,near prime,226628.44,3.713572066704308,1,0.35944603015909493,1,266926.2
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0,Senior,subprime,288307.45,3.8918202981106265,0,1.0423338966025106,1,426292.4
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,0,Adult,subprime,138081.19,4.2626798770413155,2,2.712802409043654,1,129490.36
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0,Adult,prime,326995.99,3.8066624897703196,0,-0.32134324051006935,1,1374520.9
663,France,Male,34,7,0.0,2,1,1,180427.24,0,1,Adult,prime,180427.24,4.23410650459726,2,-12.103088415379348,0,0.0
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0,Adult,prime,319170.26,3.784189633918261,1,-0.4292293782197625,1,629259.6499999999
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,1,Senior,superprime,159123.82,3.970291913552122,0,-11.977444204672894,0,0.0
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0,Adult,prime,167129.39,3.4657359027997265,0,-1.1264509076403915,0,204577.75
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0,Young,subprime,167298.72,3.091042453358316,1,0.7371675566704532,1,565786.1
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0,Young,near prime,279372.45,4.07753744390572,0,-0.019892023920094815,1,1106375.52
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0,Adult,near prime,131462.21,3.6375861597263857,0,1.4740203434528674,1,534835.8999999999
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0,Adult,prime,195517.97,3.8066624897703196,0,0.47784724894182595,1,1086134.67
416,France,Male,32,0,0.0,2,0,1,878.87,0,1,Adult,subprime,878.87,4.174387269895637,2,-6.779774169286776,0,0.0
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,1,Adult,prime,89520.75,4.174387269895637,0,-11.402236891498934,0,0.0
535,France,Female,48,9,0.0,1,1,0,149892.79,1,1,Senior,subprime,149892.79,3.8918202981106265,0,-11.91768225561413,0,0.0
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,1,Adult,prime,180800.42,4.442651256490317,0,-12.105154580891671,0,0.0
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0,Adult,subprime,226255.81,3.6375861597263857,0,0.25743330956164456,1,255219.18
614,France,Female,43,6,0.0,2,1,1,109041.53,0,1,Adult,near prime,109041.53,4.465908118654584,2,-11.599493268595738,0,0.0
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,1,Senior,prime,17941.16,4.060443010546419,0,-9.794908529702921,0,0.0
758,France,Female,33,7,0.0,2,0,0,82996.47,0,1,Adult,prime,82996.47,4.204692619390966,0,-11.326565404386441,0,0.0
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,1,Young,subprime,92067.35,4.04305126783455,2,-11.430286514974352,0,0.0
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,Elderly,near prime,201978.91,4.304065093204169,1,-0.07390604870067996,1,583555.5
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0,Adult,near prime,235934.27000000002,3.5263605246161616,0,0.08956815528697781,1,492986.8
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0,Young,prime,185759.81,3.1354942159291497,1,0.17660455547063592,1,606361.5
684,France,Male,30,2,0.0,2,1,0,83473.82,0,1,Adult,prime,83473.82,4.110873864173311,0,-11.332300308475299,0,0.0
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0,Senior,superprime,155132.47,3.912023005428146,0,0.8293814316683967,1,756051.52
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,1,Adult,prime,106977.8,4.290459441148391,2,-11.580385962972414,0,0.0
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,0,Young,prime,189285.43000000002,3.4011973816621555,0,0.8777404644117883,1,0.0
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0,Adult,near prime,265064.18,4.143134726391533,2,-0.11091366665326596,1,1126707.75
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0,Young,prime,275537.7,3.2188758248682006,0,-0.3630061190548286,1,791239.54
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0,Adult,near prime,305513.19,3.7376696182833684,0,-0.5891888926266748,1,981119.07
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,1,Adult,prime,40721.24,4.3694478524670215,0,-10.614529659534602,0,0.0
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0,Young,prime,111064.11,3.8918202981106265,0,0.08640787659855498,0,521368.29
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0,Young,subprime,294132.28,3.4011973816621555,0,-0.2315599319753705,1,520457.56
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0,Young,near prime,251823.45,4.007333185232471,0,-0.48729333444368805,0,479132.45
